Index,Hotel Name,Address
1,AMARI JOHOR BAHRU,"82C, JALAN TRUS, 80200 JOHOR BAHRU, Johor"
2,AMARI SPICE PENANG,"2, PERSIARAN MAHSURI, BAYAN BARU, 11900 BAYAN LEPAS, Pulau Pinang"
3,AMES HOTEL,"PKAK 2, PUSAT KOMERSIAL AYER KEROH, 75450 AYER KEROH, Melaka"
4,ANANTARA DESARU COAST RESORT & VILLAS,"Persiaran Pantai Desaru Coast, 81930 Bandar Penawar, Johor, Johor"
5,ANGSANA TELUK BAHANG,"11, JALAN TELUK BAHANG , 11050 TANJUNG BUNGAH, Pulau Pinang"
6,ASCOTT GURNEY PENANG,"NO. 18, PERSIARAN GURNEY, 10250 GEORGETOWN, Pulau Pinang"
7,ASCOTT STAR KLCC,"NO. 1, JALAN YAP KWAN SENG, 50450 KUALA LUMPUR, Wilayah Persekutuan Kuala Lumpur"
8,AVILLION PORT DICKSON,"3RD MILE JALAN PANTAI, 71000 PORT DICKSON, Negeri Sembilan"
9,BANGI RESORT HOTEL,"OFF PERSIARAN BANDAR, 43650 BANGI, Selangor"
10,BERJAYA LANGKAWI BEACH & SPA RESORT,"KARUNG BERKUNCI 200 BURAY BAY, 07000 LANGKAWI, Kedah"
11,BERJAYA TIMES SQUARE SUITES & CONVENTION CENTRE,"NO 1, JALAN IMBI, 55100 KUALA LUMPUR, Wilayah Persekutuan Kuala Lumpur"
12,BERTAM RESORT PENANG,"PMT 2200, BERTAM RESORT PERSIARAN BERTAM 8, 13200 KEPALA BATAS, Pulau Pinang"
13,BIRKIN INTERNATIONAL HOTEL,"LOT 12191, KAWASAN BANDAR XLV DAERAH MELAKA TENGAH, Melaka"
14,BORNEO RAINFOREST LODGE,"KM 78, DANUM VALLEY, JALAN DANUM, P.O. BOX 61174, 91120 LAHAD DATU, Sabah"
15,CASA DEL RIO MELAKA,"88, JALAN KOTA LAKSAMANA, 75200 MELAKA TENGAH, Melaka"
16,COURTYARD BY MARRIOT KL SOUTH,"TINGKAT 12-23, MENARA VISTA PETALING, MUKIM PETALING, JALAN PUCHONG, 58200, Wilayah Persekutuan Kuala Lumpur"
17,COURTYARD BY MARRIOTT MELAKA,"H-01 LORONG HAJI BACHEE, KAMPUNG BUKIT CHINA, 75100 MELAKA, Melaka"
18,CROCKFORDS HOTEL,"GENTING MALAYSIA BERHAD, 69000 GENTING HIGHLAND, Pahang"
19,CROWNE PLAZA,"NO. 22, MENARA 8, JALAN YAP KWAN SENG, 50450 KUALA LUMPUR, Wilayah Persekutuan Kuala Lumpur"
20,CYBERVIEW RESORT & SPA,"THE LODGE, PERSIARAN MULTIMEDIA, CYBER 7, 63000 CYBERJAYA, Selangor"
21,DAMAI LAGOON RESORT,"TELUK PENYUK, SANTUBONG, 93762 KUCHING, Sarawak"
22,DORSETT GRAND LABUAN,"462, JALAN MERDEKA, 87029 LABUAN, Wilayah Persekutuan Labuan"
23,DORSETT GRAND SUBANG HOTEL,"Jalan SS 12/1, Subang Jaya, 41750 Petaling Jaya, Selangor"
24,DOUBLETREE BY HILTON MELAKA,"HATTEN CITY, JALAN MELAKA RAYA 23, 75000 BANDAR HILIR, Melaka"
25,DOUBLETREE BY HILTON PUTRAJAYA LAKESIDE,"NO. 2, JALAN P5/5, PRESINT 5, 62200 PUTRAJAYA, Wilayah Persekutuan Putrajaya"
26,DOUBLETREE BY HILTON SHAH ALAM  ICITY,"I-City, Finance Avenue, 40000 Shah Alam, Selangor"
27,DUSIT PRINCESS MELAKA MALAYSIA,"LOT 323, 325, 328, JALAN BENDAHARA, 75100 MELAKA, Melaka"
28,EASTERN & ORIENTAL HOTEL,"NO. 10, LEBUH FARQUHAR, 10200 GEORGETOWN, Pulau Pinang"
29,EASTIN HOTEL KUALA LUMPUR,"13 JALAN 16/11, 46350 PETALING JAYA, Selangor"
30,EQ HOTEL,"Equatorial Plaza, Jalan Sultan Ismail, 50250, Wilayah Persekutuan Kuala Lumpur"
31,FOUR POINT BY SHERATON KLCC,"102, CORNER OF JALAN AMPANG & SULTAN ISMAIL, 50450 KUALA LUMPUR, Wilayah Persekutuan Kuala Lumpur"
32,FOUR SEASONS HOTEL KUALA LUMPUR,"14, Jalan Ampang, 50450, Wilayah Persekutuan Kuala Lumpur"
33,FOUR SEASONS RESORT LANGKAWI,"JALAN TANJUNG RHU, MUKIM AYER HANGAT, 07000 LANGKAWI, Kedah"
34,G HOTEL GURNEY,"168A PERSIARAN GURNEY, 10250 GEORGETOWN, Pulau Pinang"
35,G HOTEL KELAWAI,"NO. 2, PERSIARAN MAKTAB, 10250 GEORGETOWN, Pulau Pinang"
36,GENTING GRAND HOTEL,"GENTING HIGHLANDS RESORT, 69000 GENTING HIGHLAND, Pahang"
37,GLENMARIE HOTEL & GOLF RESORT,"No.1, Jalan Usahawan U1/8, Seksyen U1, 40250 Shah Alam, Selangor"
38,GRAND HYATT KUALA LUMPUR,"12 JALAN PINANG, 50450 KUALA LUMPUR, Wilayah Persekutuan Kuala Lumpur"
39,GRAND LEXIS PORT DICKSON,"BATU 2, JALAN SEREMBAN, 71000 PORT DICKSON, Negeri Sembilan"
40,HARD ROCK HOTEL DESARU COAST,"JALAN PANTAI 3, DESARU COAST, 81930 BANDAR PENAWAR, Johor"
41,HARD ROCK HOTEL PENANG,"BATU FERRINGHI BEACH, 11100 BATU FERRINGHI, Pulau Pinang"
42,HATTEN HOTEL MELAKA,"JALAN MERDEKA, 75000 MELAKA, Melaka"
43,HILTON KOTA KINABALU,"JALAN TUANKU ABDUL RAHMAN, ASIA CITY 88000 KOTA KINABALU, Sabah"
44,HILTON KUALA LUMPUR,"NO. 3, JALAN STESEN SENTRAL, 50470 KUALA LUMPUR, Wilayah Persekutuan Kuala Lumpur"
45,HOLIDAY INN MELAKA,"JALAN SYED ABDUL AZIZ, 75000 MELAKA, Melaka"
46,HOTEL INTERCONTINENTAL KUALA LUMPUR,"165, JALAN AMPANG, 50450 KUALA LUMPUR, Wilayah Persekutuan Kuala Lumpur"
47,HOTEL MAYA KUALA LUMPUR,"138, JALAN AMPANG, 50450 KUALA LUMPUR, Wilayah Persekutuan Kuala Lumpur"
48,HOTEL PAVILION KUALA LUMPUR,"170, JALAN BUKIT BINTANG, 55100 KUALA LUMPUR, Wilayah Persekutuan Kuala Lumpur"
49,HOTEL ROYAL SIGNATURE,"21, JALAN BUKIT BINTANG, 55100 KUALA LUMPUR, Wilayah Persekutuan Kuala Lumpur"
50,HOTEL STRIPES KUALA LUMPUR,"25 JALAN KAMUNTING, 50300, Wilayah Persekutuan Kuala Lumpur"
51,HOTEL TENERA,"PT 30324, 30325, 30326 & 30327, KAWSAN BANGI GOLF RESORT,43650 BANDAR BARU BANGI, Selangor"
52,HOTEL ZENITH PUTRAJAYA,"NO. 1, JALAN P2A, PRESINT 2, 62000 PUTRAJAYA, Wilayah Persekutuan Putrajaya"
53,HYATT CENTRIC CITY CENTRE KUALA LUMPUR,"17, JALAN SULTAN ISMAIL, Wilayah Persekutuan Kuala Lumpur"
54,HYATT CENTRIC KOTA KINABALU,"NO. 18, JALAN HAJI SAMAN, 88000 KOTA KINABALU, Sabah"
55,HYATT REGENCY KINABALU,"JALAN DATUK SALLEH SULONG, 88991 KOTA KINABALU, Sabah"
56,HYATT REGENCY KUANTAN RESORT,"TELOK CHEMPEDAK, 25050 KUANTAN, Pahang"
57,"ICONIC MARJORIE HOTEL, A TRIBUTE PORTFOLIO HOTEL","NO. 239A, JALAN SULTAN AZLAN SHAH, 11900 BAYAN LEPAS, Pulau Pinang"
58,JW MARRIOT KUALA LUMPUR,"NO. 183, JALAN BUKIT BINTANG, 55100 KUALA LUMPUR, Wilayah Persekutuan Kuala Lumpur"
59,KOTA KINABALU MARRIOTT HOTEL,"LOT G, 23A, JALAN TUN FUAD STEPHENS, 88000 KOTA KINABALU, Sabah"
60,LE MERIDIEN KOTA KINABALU,"JALAN TUN FUAD STEPHENS, SINSURAN, 88000 KOTA KINABALU, Sabah"
61,LE MERIDIEN KUALA LUMPUR,"NO. 2, JALAN STESEN SENTRAL, KUALA LUMPUR SENTRAL, 50470 KUALA LUMPUR, Wilayah Persekutuan Kuala Lumpur"
62,LE MERIDIEN PETALING JAYA,"PARADIGM 1, JALAN SS 7/26A, KELANA JAYA, 47301 PETALING JAYA, Selangor"
63,LE MERIDIEN PUTRAJAYA,"LEBUH IRC, IOI RESORT CITY, 62502 PUTRAJAYA, SEPANG, Selangor"
64,LEXIS HIBISCUS PORT DICKSON,"BATU 12, JLN PANTAI PASIR PANJANG, 71250 PORT DICKSON, Negeri Sembilan"
65,LEXIS SUITES PENANG,"28, JALAN TELUK KUMBAR, 11920 BAYAN LEPAS, Pulau Pinang"
66,LONE PINE HOTEL,"97, BATU FERRINGHI BEACH, 11100 BATU FERRINGHI, Pulau Pinang"
67,M RESORT HOTEL,"NO. 1, BUKIT KIARA, JALAN DAMANSARA, 60000 KUALA LUMPUR, Wilayah Persekutuan Kuala Lumpur"
68,M WORLD HOTEL,"NO. 1, PERSIARAN BANDAR UTAMA, BANDAR UTAMA, 47800 PETALING JAYA, Selangor"
69,MANDARIN ORIENTAL,"KUALA LUMPUR CITY CENTRE, P.O. BOX 10905, 50088 KUALA LUMPUR, Wilayah Persekutuan Kuala Lumpur"
70,MANGALA ESTATE BOUTIQUE RESORT,"Lot 49658 Persiaran Gambang, Mukim Kuala Kuantan,25100 Kuantan, Pahang"
71,MARDHIYYAH HOTEL & SUITES,"LOT P5.5, PERSIARAN PERBANDARAN SEKSYEN 14, 40000 SHAH ALAM, Selangor"
72,MARRIOTT RESORT PERHENTIAN,"LOT 60027, PULAU PERHENTIAN KECIL, 22300 PULAU PERHENTIAN, Terengganu"
73,MIRI MARRIOT RESORT & SPA,"JALAN TEMENGGONG DATUK OYONG LAWAI, P.O. BOX 1145, 98008 MIRI, Sarawak"
74,MOVENPICK HOTEL & CONVENTION CENTRE KLIA,"KOMPLEKS TH SEPANG, JALAN MASJID KLIA, 64000 SEPANG, Selangor"
75,ONE & ONLY DESARU COAST,"PERSIARAN DAMAI, DESARU COAST, 81930 BANDAR PENAWAR, Johor"
76,ONE WORLD,"FIRST AVENUE, BANDAR UTAMA CITY CENTRE, 47800 PETALING JAYA, Selangor"
77,"PALM GARDEN HOTEL, PUTRAJAYA, A TRIBUTE PORTFOLIO HOTEL","IOI RESORT, 62502 PUTRAJAYA, Wilayah Persekutuan Putrajaya"
78,PAN PACIFIC SERVICED SUITES KUALA LUMPUR,"JALAN SULTAN ISMAIL, 50250 KUALA LUMPUR, Wilayah Persekutuan Kuala Lumpur"
79,PARKROYAL A'FAMOSA MELAKA RESORT,"JALAN KEMUS, SIMPANG AMPAT, ALOR GAJAH, 78000 MELAKA, Melaka"
80,PARKROYAL COLLECTION KUALA LUMPUR,"JALAN SULTAN ISMAIL, 50250 KUALA LUMPUR, Wilayah Persekutuan Kuala Lumpur"
81,PARKROYAL LANGKAWI,"LOT 60199, PANTAI TENGAH, JALAN PADANG MATSIRAT, 07000 LANGKAWI, Kedah"
82,PARKROYAL PENANG RESORT,"BATU FERRINGHI BEACH 11100 BATU FERRINGHI, Pulau Pinang"
83,PELANGI BEACH RESORT & SPA LANGKAWI,"PANTAI CENANG, MUKIM KEDAWANG, 07000 LANGKAWI, Kedah"
84,PENANG MARRIOTT HOTEL,"55, PERSIARAN GURNEY, 10250 GEORGETOWN, Pulau Pinang"
85,PULLMAN KUALA LUMPUR CITY CENTRE HOTEL & RESIDENCE,"NO. 4, JALAN CONLAY, 50450 KUALA LUMPUR, Wilayah Persekutuan Kuala Lumpur"
86,PULLMAN MIRI WATERFRONT,"LOT 1347, MIRI WATERFRONT COMMERCIAL CENTRE, 98000 MIRI, Sarawak"
87,PULSE GRANDE HOTEL PUTRAJAYA,"TAMAN PUTRA PERDANA, PRESINT 1, 62000 PUTRAJAYA, Wilayah Persekutuan Putrajaya"
88,PUTRAJAYA MARRIOTT HOTEL,"IOI RESORT CITY, 62502 PUTRAJAYA, Wilayah Persekutuan Putrajaya"
89,REBAK ISLAND RESORT & MARINA LANGKAWI,"P.O. BOX 125, PULAU REBAK MUKIM KEDAWANG, 07000 LANGKAWI, Kedah"
90,RENAI HOTEL KOTA BHARU,"KOTA SRI MUTIARA, JALAN SULTAN YAHYA PETRA, 15150 KOTA BHARU, Kelantan"
91,RENAISSANCE JOHOR BAHRU HOTEL,"No. 2, Jln Permas 11, Bandar Baru Permas Jaya, 81750 Johor Bahru, Johor"
